buffer_size: 9 KB	read: 38.830 GB/s	write: 21.064 GB/s
buffer_size: 9 KB	read: 38.391 GB/s	write: 21.727 GB/s
buffer_size: 9 KB	read: 38.750 GB/s	write: 21.237 GB/s
buffer_size: 9 KB	read: 37.832 GB/s	write: 21.194 GB/s
buffer_size: 9 KB	read: 38.443 GB/s	write: 20.995 GB/s
buffer_size: 9 KB	read: 38.734 GB/s	write: 21.467 GB/s
buffer_size: 9 KB	read: 38.739 GB/s	write: 19.450 GB/s
buffer_size: 9 KB	read: 37.420 GB/s	write: 21.413 GB/s
buffer_size: 9 KB	read: 38.421 GB/s	write: 21.631 GB/s
buffer_size: 9 KB	read: 32.396 GB/s	write: 20.670 GB/s
buffer_size: 9 KB	read: 36.377 GB/s	write: 20.305 GB/s
buffer_size: 10 KB	read: 36.186 GB/s	write: 18.979 GB/s
buffer_size: 10 KB	read: 36.865 GB/s	write: 20.424 GB/s
buffer_size: 10 KB	read: 25.501 GB/s	write: 18.856 GB/s
buffer_size: 10 KB	read: 37.459 GB/s	write: 20.306 GB/s
buffer_size: 10 KB	read: 37.371 GB/s	write: 20.677 GB/s
buffer_size: 10 KB	read: 38.562 GB/s	write: 21.402 GB/s
buffer_size: 10 KB	read: 37.730 GB/s	write: 19.196 GB/s
buffer_size: 10 KB	read: 37.475 GB/s	write: 21.106 GB/s
buffer_size: 10 KB	read: 38.902 GB/s	write: 20.827 GB/s
buffer_size: 10 KB	read: 25.789 GB/s	write: 17.475 GB/s
buffer_size: 10 KB	read: 35.807 GB/s	write: 14.281 GB/s
buffer_size: 11 KB	read: 35.947 GB/s	write: 20.295 GB/s
buffer_size: 11 KB	read: 36.354 GB/s	write: 18.613 GB/s
buffer_size: 11 KB	read: 38.623 GB/s	write: 19.894 GB/s
buffer_size: 11 KB	read: 37.339 GB/s	write: 16.079 GB/s
buffer_size: 11 KB	read: 35.696 GB/s	write: 21.416 GB/s
buffer_size: 11 KB	read: 39.597 GB/s	write: 19.073 GB/s
buffer_size: 11 KB	read: 34.854 GB/s	write: 18.855 GB/s
buffer_size: 11 KB	read: 35.710 GB/s	write: 19.253 GB/s
buffer_size: 11 KB	read: 35.652 GB/s	write: 17.939 GB/s
buffer_size: 11 KB	read: 36.376 GB/s	write: 19.059 GB/s
buffer_size: 11 KB	read: 36.126 GB/s	write: 18.812 GB/s
buffer_size: 12 KB	read: 36.186 GB/s	write: 17.940 GB/s
buffer_size: 12 KB	read: 35.806 GB/s	write: 19.809 GB/s
buffer_size: 12 KB	read: 37.372 GB/s	write: 19.412 GB/s
buffer_size: 12 KB	read: 35.455 GB/s	write: 19.180 GB/s
buffer_size: 12 KB	read: 36.662 GB/s	write: 21.048 GB/s
buffer_size: 12 KB	read: 34.556 GB/s	write: 19.457 GB/s
buffer_size: 12 KB	read: 35.336 GB/s	write: 20.146 GB/s
buffer_size: 12 KB	read: 37.719 GB/s	write: 20.624 GB/s
buffer_size: 12 KB	read: 39.649 GB/s	write: 21.396 GB/s
buffer_size: 12 KB	read: 35.532 GB/s	write: 20.626 GB/s
buffer_size: 12 KB	read: 39.190 GB/s	write: 20.976 GB/s
buffer_size: 13 KB	read: 39.731 GB/s	write: 21.475 GB/s
buffer_size: 13 KB	read: 36.199 GB/s	write: 21.578 GB/s
buffer_size: 13 KB	read: 39.509 GB/s	write: 20.742 GB/s
buffer_size: 13 KB	read: 39.507 GB/s	write: 21.312 GB/s
buffer_size: 13 KB	read: 39.344 GB/s	write: 21.717 GB/s
buffer_size: 13 KB	read: 38.493 GB/s	write: 19.528 GB/s
buffer_size: 13 KB	read: 39.800 GB/s	write: 21.010 GB/s
buffer_size: 13 KB	read: 39.257 GB/s	write: 21.605 GB/s
buffer_size: 13 KB	read: 39.273 GB/s	write: 21.483 GB/s
buffer_size: 13 KB	read: 39.590 GB/s	write: 21.185 GB/s
buffer_size: 13 KB	read: 38.937 GB/s	write: 21.181 GB/s
buffer_size: 14 KB	read: 39.632 GB/s	write: 20.804 GB/s
buffer_size: 14 KB	read: 38.668 GB/s	write: 19.857 GB/s
buffer_size: 14 KB	read: 39.529 GB/s	write: 21.063 GB/s
buffer_size: 14 KB	read: 38.180 GB/s	write: 20.494 GB/s
buffer_size: 14 KB	read: 39.146 GB/s	write: 21.126 GB/s
buffer_size: 14 KB	read: 38.448 GB/s	write: 20.991 GB/s
buffer_size: 14 KB	read: 39.567 GB/s	write: 21.464 GB/s
buffer_size: 14 KB	read: 38.675 GB/s	write: 21.060 GB/s
buffer_size: 14 KB	read: 39.296 GB/s	write: 21.422 GB/s
buffer_size: 14 KB	read: 39.080 GB/s	write: 21.501 GB/s
buffer_size: 14 KB	read: 32.241 GB/s	write: 21.213 GB/s
buffer_size: 16 KB	read: 39.358 GB/s	write: 21.725 GB/s
buffer_size: 16 KB	read: 39.571 GB/s	write: 20.915 GB/s
buffer_size: 16 KB	read: 40.013 GB/s	write: 21.358 GB/s
buffer_size: 16 KB	read: 37.902 GB/s	write: 20.479 GB/s
buffer_size: 16 KB	read: 39.499 GB/s	write: 21.636 GB/s
